code,nationality,country,iso_alpha_3_code
9516,IRAQUÍ,IRAK,IRQ
9519,IRANÍ,"IRÁN, REPÚBLICA ISLÁMICA DE",IRN
9522,IRLANDÉS,IRLANDA,IRL
1033,MANÉS,ISLA DE MAN,IMN
9525,ISLANDÉS,ISLANDIA,ISL
9526,SALOMONENSE,ISLAS SALOMÓN,SLB
1034,ISLAS ULTRAMARINAS MENORES DE LOS ESTADOS UNIDOS,ISLAS ULTRAMARINAS MENORES DE LOS ESTADOS UNIDOS,UMI
9528,ISRAELÍ,ISRAEL,ISR
9531,ITALIANO,ITALIA,ITA
9534,JAMAICANO,JAMAICA,JAM
9537,JAPONÉS,JAPÓN,JPN
1035,JERSEYÉS,JERSEY,JEY
9540,JORDANO,JORDANIA,JOR
1036,KAZAJO,KAZAJISTÁN,KAZ
9543,KENIATA,KENIA,KEN
1037,KIRGUÍS,KIRGUISTÁN,KGZ
9544,KIRIBATÍ,KIRIBATI,KIR
9546,KUWAITIANO,KUWAIT,KWT
9549,LAOSIANO,"LAOS, REPÚBLICA DEMOCRÁTICA POPULAR",LAO
9552,LESOTHENSE,LESOTHO,LSO
1038,LETÓN,LETONIA,LVA
9555,LIBANÉS,LIBANO,LBN
9558,LIBERIANO,LIBERIA,LBR
9561,LIBIO,LIBIA,LBY
9564,LIECHTENSTEINIANO,LIECHTENSTEIN,LIE
1039,LITUANO,LITUANIA,LTU
9567,LUXEMBURGUÉS,LUXEMBURGO,LUX
1040,MACAENSE,MACAO,MAC
1041,MACEDONIO,"MACEDONIA, EX REPÚBLICA YUGOSLAVA",MKD
9570,MALGACHE,MADAGASCAR,MDG
9573,MALASIO,MALASIA,MYS
9576,MALAWIANO,MALAWI,MWI
9577,MALDIVO,MALDIVAS,MDV
9579,MALIENSE,MALÍ,MLI
9582,MALTÉS,MALTA,MLT
1042,MALVINENSE,"MALVINAS, ISLAS",MDV
